country,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,sweetness,cupper_points,total_score,altitude_m,color,harvest_year
Ethiopia,,Washed / Wet,8.67,8.83,8.67,8.75,8.5,8.42,10.0,8.75,90.58,2075.0,Green,2014
Ethiopia,Other,Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,10.0,8.58,89.92,2075.0,Green,2014
Guatemala,Bourbon,,8.42,8.5,8.42,8.42,8.33,8.42,10.0,9.25,89.75,1700.0,,
Ethiopia,,Natural / Dry,8.17,8.58,8.42,8.42,8.5,8.25,10.0,8.67,89.0,2000.0,Green,2014
Ethiopia,Other,Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,10.0,8.58,88.83,2075.0,Green,2014
Brazil,,Natural / Dry,8.58,8.42,8.42,8.5,8.25,8.33,10.0,8.33,88.83,,Bluish-Green,2013
Peru,Other,Washed / Wet,8.42,8.5,8.33,8.5,8.25,8.25,10.0,8.5,88.75,,Bluish-Green,2012
Ethiopia,,,8.25,8.33,8.5,8.42,8.33,8.5,9.33,9.0,88.67,1635.0,,March 2010
Ethiopia,,,8.67,8.67,8.58,8.42,8.33,8.42,9.33,8.67,88.42,1635.0,,March 2010
Ethiopia,Other,Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,10.0,8.5,88.25,1822.5,Green,2014
Ethiopia,,Natural / Dry,8.17,8.67,8.25,8.5,7.75,8.17,10.0,8.58,88.08,1905.0,,2014
United States,Other,Washed / Wet,8.25,8.42,8.17,8.33,8.08,8.17,10.0,8.5,87.92,1872.0,,2014
United States,Other,Washed / Wet,8.08,8.67,8.33,8.42,8.0,8.08,10.0,8.33,87.92,1943.0,,2014
United States (Hawaii),,,8.33,8.42,8.08,8.25,8.25,8.0,10.0,8.58,87.92,609.6,,Sept 2009 - April 2010
Ethiopia,,,8.25,8.33,8.5,8.25,8.58,8.75,9.33,8.5,87.83,1635.0,,March 2010
United States,Other,Washed / Wet,8.0,8.5,8.58,8.17,8.17,8.0,10.0,8.17,87.58,2080.0,,2014
Indonesia,,,8.33,8.25,7.83,7.75,8.5,8.42,10.0,8.33,87.42,1500.0,,May-August
Ethiopia,,,8.17,8.33,8.25,8.33,8.42,8.33,9.33,8.83,87.33,,,2009/2010
China,Catimor,Washed / Wet,8.42,8.25,8.08,8.17,7.92,8.0,10.0,8.42,87.25,1450.0,Green,2015
Ethiopia,Ethiopian Yirgacheffe,Natural / Dry,8.17,8.17,8.0,8.17,8.08,8.33,10.0,8.33,87.25,1850.0,,2014
United States,Other,Washed / Wet,8.0,8.25,8.08,8.5,8.25,8.0,10.0,8.17,87.25,2019.0,,2014
Costa Rica,Caturra,Washed / Wet,8.08,8.25,8.0,8.17,8.0,8.33,10.0,8.33,87.17,1300.0,Green,2014
Mexico,Other,Washed / Wet,8.17,8.25,8.17,8.0,7.83,8.17,10.0,8.58,87.17,1320.0,Green,2012
United States,Other,Washed / Wet,8.25,8.33,8.17,8.17,7.83,8.17,10.0,8.17,87.08,2112.0,,2014
Ethiopia,,Natural / Dry,8.42,8.17,7.92,8.17,8.33,8.0,10.0,8.08,87.08,,Bluish-Green,2013
